video_id,query_id,query_text,time,detector_score,crop_score
video_01,q001,a man with a red backpack,0.0,0.2995329201221466,0.04124368354678154
video_01,q002,a cyclist,0.0,0.36869993805885315,0.09128431975841522
video_01,q003,a yellow car,0.0,0.7625308036804199,0.06999470293521881
video_01,q001,a man with a red backpack,1.0,0.3286312520503998,0.04065929725766182
video_01,q002,a cyclist,1.0,0.3755660057067871,0.09722808003425598
video_01,q003,a yellow car,1.0,0.8020167350769043,0.06936769932508469
video_01,q001,a man with a red backpack,2.0,0.33122193813323975,0.032746296375989914
video_01,q002,a cyclist,2.0,0.40158769488334656,0.08375127613544464
video_01,q003,a yellow car,2.0,0.8163923025131226,0.02517584152519703
video_01,q001,a man with a red backpack,3.0,0.33395645022392273,0.04280537739396095
video_01,q002,a cyclist,3.0,0.42994946241378784,0.054038695991039276
video_01,q003,a yellow car,3.0,0.7503199577331543,0.0645705834031105
video_01,q001,a man with a red backpack,4.0,0.3177006244659424,0.035874441266059875
video_01,q002,a cyclist,4.0,0.41410762071609497,0.052439164370298386
video_01,q003,a yellow car,4.0,0.7699941992759705,0.004729843698441982
video_01,q001,a man with a red backpack,5.0,0.28964942693710327,0.09284491837024689
video_01,q002,a cyclist,5.0,0.4078918695449829,0.05213755741715431
video_01,q003,a yellow car,5.0,0.7502303123474121,0.014232275076210499
video_01,q001,a man with a red backpack,6.0,0.32431986927986145,0.04854346066713333
video_01,q002,a cyclist,6.0,0.4149811267852783,0.03841235861182213
video_01,q003,a yellow car,6.0,0.7918816208839417,0.006354901939630508
video_01,q001,a man with a red backpack,7.0,0.29313212633132935,0.12829788029193878
video_01,q002,a cyclist,7.0,0.3988810181617737,0.05233960971236229
video_01,q003,a yellow car,7.0,0.6859474778175354,0.015536506660282612
video_01,q001,a man with a red backpack,8.0,0.30368372797966003,0.12285042554140091
video_01,q002,a cyclist,8.0,0.4099416434764862,0.059262193739414215
video_01,q003,a yellow car,8.0,0.8180906176567078,0.06667405366897583
video_01,q001,a man with a red backpack,9.0,0.2929326295852661,0.12705928087234497
video_01,q002,a cyclist,9.0,0.3933202028274536,0.06296490132808685
video_01,q003,a yellow car,9.0,0.8176166415214539,0.0687284991145134
video_01,q001,a man with a red backpack,10.0,0.28806936740875244,0.12663781642913818
video_01,q002,a cyclist,10.0,0.4249655306339264,0.0621645525097847
video_01,q003,a yellow car,10.0,0.7961528301239014,0.06858077645301819
video_01,q001,a man with a red backpack,11.0,0.29535895586013794,0.11257009208202362
video_01,q002,a cyclist,11.0,0.4147196114063263,0.04679146036505699
video_01,q003,a yellow car,11.0,0.7772144675254822,0.0695190355181694
video_01,q001,a man with a red backpack,12.0,0.29919716715812683,0.09265410900115967
video_01,q002,a cyclist,12.0,0.42862775921821594,0.0592002309858799
video_01,q003,a yellow car,12.0,0.7572621703147888,0.0741654708981514
video_01,q001,a man with a red backpack,13.0,0.25861871242523193,0.03082326240837574
video_01,q002,a cyclist,13.0,0.3603841960430145,0.08360855281352997
video_01,q003,a yellow car,13.0,0.7456159591674805,0.08245466649532318
video_01,q001,a man with a red backpack,14.0,0.2862691879272461,0.10854729264974594
video_01,q002,a cyclist,14.0,0.4084467887878418,0.05641994625329971
video_01,q003,a yellow car,14.0,0.7194801568984985,0.016641676425933838
video_01,q001,a man with a red backpack,15.0,0.28402334451675415,0.0976298376917839
video_01,q002,a cyclist,15.0,0.42203542590141296,0.05687100812792778
video_01,q003,a yellow car,15.0,0.7139000296592712,0.014417391270399094
video_01,q001,a man with a red backpack,16.0,0.2896439731121063,0.08710693567991257
video_01,q002,a cyclist,16.0,0.4047635495662689,0.06052510440349579
video_01,q003,a yellow car,16.0,0.701867401599884,0.01886880397796631
video_01,q001,a man with a red backpack,17.0,0.29893869161605835,0.09408390522003174
video_01,q002,a cyclist,17.0,0.3821849524974823,0.06245460361242294
video_01,q003,a yellow car,17.0,0.7616507411003113,0.07266934961080551
video_01,q001,a man with a red backpack,18.0,0.30411437153816223,0.08410033583641052
video_01,q002,a cyclist,18.0,0.3987800180912018,0.05455178767442703
video_01,q003,a yellow car,18.0,0.7382212281227112,0.06448891013860703
video_01,q001,a man with a red backpack,19.0,0.3090987801551819,0.09114600718021393
video_01,q002,a cyclist,19.0,0.43288105726242065,0.05759713053703308
video_01,q003,a yellow car,19.0,0.7195085883140564,0.03244655206799507
